,player,nationality,position,squad,age,birth_year,value,height,position2,foot,league,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,goalsm,assistsm,pens_madem,pens_attm,cards_yellowm,cards_redm,goals_per90m,assists_per90m,goals_assists_per90m,goals_pens_per90m,goals_assists_pens_per90m,xgm,npxgm,xam,xg_per90m,xa_per90m,xg_xa_per90m,npxg_per90m,npxg_xa_per90m,minutes_90sm,shots_totalm,shots_on_targetm,shots_free_kicksm,shots_on_target_pctm,shots_total_per90m,shots_on_target_per90m,goals_per_shotm,goals_per_shot_on_targetm,npxg_per_shotm,xg_netm,npxg_netm,passes_completedm,passesm,passes_pctm,passes_total_distancem,passes_progressive_distancem,passes_completed_shortm,passes_shortm,passes_pct_shortm,passes_completed_mediumm,passes_mediumm,passes_pct_mediumm,passes_completed_longm,passes_longm,passes_pct_longm,xa_netm,assisted_shotsm,passes_into_final_thirdm,passes_into_penalty_aream,crosses_into_penalty_aream,progressive_passesm,passes_livem,passes_deadm,passes_free_kicksm,through_ballsm,passes_pressurem,passes_switchesm,crossesm,corner_kicksm,corner_kicks_inm,corner_kicks_outm,corner_kicks_straightm,passes_groundm,passes_lowm,passes_highm,passes_left_footm,passes_right_footm,passes_headm,throw_insm,passes_other_bodym,passes_offsidesm,passes_oobm,passes_interceptedm,passes_blockedm,scam,sca_per90m,sca_passes_livem,sca_passes_deadm,sca_dribblesm,sca_shotsm,sca_fouledm,gcam,gca_per90m,gca_passes_livem,gca_passes_deadm,gca_dribblesm,gca_shotsm,gca_fouledm,gca_og_form,tacklesm,tackles_wonm,tackles_def_3rdm,tackles_mid_3rdm,tackles_att_3rdm,dribble_tacklesm,dribbles_vsm,dribble_tackles_pctm,dribbled_pastm,pressuresm,pressure_regainsm,pressure_regain_pctm,pressures_def_3rdm,pressures_mid_3rdm,pressures_att_3rdm,blocksm,blocked_shotsm,blocked_shots_savesm,blocked_passesm,interceptionsm,clearancesm,errorsm,touchesm,touches_def_pen_aream,touches_def_3rdm,touches_mid_3rdm,touches_att_3rdm,touches_att_pen_aream,touches_live_ballm,dribbles_completedm,dribblesm,dribbles_completed_pctm,players_dribbled_pastm,nutmegsm,carriesm,carry_distancem,carry_progressive_distancem,pass_targetsm,passes_receivedm,passes_received_pctm,miscontrolsm,dispossessedm,cards_yellow_redm,foulsm,fouledm,offsidesm,pens_wonm,pens_concededm,own_goalsm,ball_recoveriesm,aerials_wonm,aerials_lostm,aerials_won_pctm,games_gkm,games_starts_gkm,minutes_gkm,goals_against_gkm,goals_against_per90_gkm,shots_on_target_againstm,savesm,save_pctm,wins_gkm,draws_gkm,losses_gkm,clean_sheetsm,clean_sheets_pctm,pens_att_gkm,pens_allowedm,pens_savedm,pens_missed_gkm,minutes_90s_gkm,free_kick_goals_against_gkm,corner_kick_goals_against_gkm,own_goals_against_gkm,psxg_gkm,psnpxg_per_shot_on_target_againstm,psxg_net_gkm,psxg_net_per90_gkm,passes_completed_launched_gkm,passes_launched_gkm,passes_pct_launched_gkm,passes_gkm,passes_throws_gkm,pct_passes_launched_gkm,passes_length_avg_gkm,goal_kicksm,pct_goal_kicks_launchedm,goal_kick_length_avgm,crosses_gkm,crosses_stopped_gkm,crosses_stopped_pct_gkm,def_actions_outside_pen_area_gkm,def_actions_outside_pen_area_per90_gkm,avg_distance_def_actions_gkm,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,CL,WinCL,CLBestScorer,Season
1446,Cristiano Lombardi,it ITA,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Dejan Lovren,hr CRO,DF,Liverpool,28,1989,20000000,188,Defender - Centre-Back,right,Premier League,29,24,2127,2,1,0,0,4,0,0.08,0.04,0.13,0.08,0.13,1.7,1.7,1.4,0.07,0.06,0.13,0.07,0.13,23.6,14,5,0,35.7,0.59,0.21,0.14,0.4,0.12,0.3,0.3,1546,1758,87.9,33092,10274,389,433,89.8,889,959,92.7,256,346,74,-0.4,7,92,9,2,84,1736,22,19,0,163,43,6,0,0,0,0,1372,115,271,328,1236,150,3,4,2,19,12,8,19,0.81,15,0,0,4,0,2,0.08,2,0,0,0,0,0,26,11,15,10,1,9,20,45,11,176,66,37.5,123,49,4,32,13,0,19,27,143,1,2009,136,1018,1079,68,24,1987,1,1,100,1,0,1341,7749,4101,1404,1385,98.6,3,1,0,15,7,1,0,1,0,311,61,28,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003056769,0.003056769,0,0.001135371,0.0000873,0.001222707,0.001135371,0.001222707,0.010917031,0.021834061,0.004366812,0,0.087336245,0.00860262,0.001703057,0,0,0.000567686,-0.003056769,-0.003056769,0.227074236,0.305676856,0.324454148,3.27510917,1.174672489,0.161572052,0.205240175,0.343668122,0.052401747,0.065502183,0.349344978,0.013100437,0.021834061,0.262008734,0,0.008733624,0.021834061,0.017467249,0,0.03930131,0.292576419,0.013100437,0.004366812,0,0.07860262,0.004366812,0.013100437,0,0,0,0,0.231441048,0.043668122,0.030567686,0.048034934,0.231441048,0.013100437,0.004366812,0,0.004366812,0.008733624,0.008733624,0.021834061,0.030567686,0.012008734,0.017467249,0,0,0,0.013100437,0.008733624,0.003449782,0.004366812,0,0,0,0.004366812,0,0.021834061,0.008733624,0.008733624,0.008733624,0.004366812,0,0.004366812,0,0.004366812,0.244541485,0.056768559,0.101310044,0.052401747,0.131004367,0.061135371,0.017467249,0,0,0.017467249,0.004366812,0,0,0.532751092,0,0.052401747,0.174672489,0.349344978,0.074235808,0.519650655,0.034934498,0.074235808,0.205676856,0.034934498,0,0.458515284,3.318777293,2.148471616,0.676855895,0.362445415,0.233624454,0.026200873,0.052401747,0,0.013100437,0.030567686,0.004366812,0,0,0,0.104803493,0.008733624,0.030567686,0.096943231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,21,12,5,84,38,46,75,1.97,70.4,33.3,37.1,0.98,53049,1,0,0,201718#
1284,Sami Khedira,de GER,MF,Juventus,30,1987,26000000,189,midfield - Central Midfield,right,Serie A,26,24,1912,9,2,0,0,1,0,0.42,0.09,0.52,0.42,0.52,4.1,4.1,0.8,0.19,0.04,0.23,0.19,0.23,21.2,33,18,0,54.5,1.55,0.85,0.27,0.5,0.12,4.9,4.9,857,982,87.3,15128,2918,371,415,89.4,393,428,91.8,76,96,79.2,1.2,15,58,4,0,52,959,23,11,2,140,18,10,0,0,0,0,743,139,100,108,826,28,11,1,3,11,13,24,39,1.83,32,0,2,3,1,9,0.42,6,0,1,1,0,1,13,8,1,10,2,3,23,13,20,369,83,22.5,108,182,79,33,3,0,30,4,14,0,1131,28,203,715,292,47,1108,7,13,53.8,9,1,795,3805,1644,987,869,88,16,14,0,13,10,6,0,0,0,136,11,9,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002445985,0.000815328,0,0.000407664,0.000815328,0,0.0000897,0.0000285,0.000118223,0.0000897,0.000118223,0.00375051,0.003465145,0.000856095,0.000138606,0.0000326,0.000171219,0.000126376,0.000158989,0.01112923,0.026090501,0.008153282,0.000407664,0.012759886,0.000958011,0.000297595,0.0000367,0.000122299,0.000053,-0.001304525,-0.00101916,0.132083163,0.194863433,0.027639625,1.977170811,0.312270689,0.080309825,0.103546678,0.031634733,0.039135752,0.059518956,0.026824297,0.009376274,0.017121892,0.022339992,-0.0000408,0.007745618,0.003668977,0.002853649,0.000815328,0.00896861,0.173257236,0.021606196,0,0.000815328,0.051773339,0.003261313,0.008153282,0,0,0,0,0.10680799,0.056257644,0.031797799,0.104362006,0.043212393,0.017529556,0.000815328,0.00896861,0.000407664,0.004484305,0.005707297,0.010599266,0.021606196,0.000790868,0.013452915,0.000407664,0.00203832,0.001630656,0.003668977,0.002445985,0.0000897,0.000407664,0,0,0.000815328,0.001222992,0,0.004484305,0.002853649,0.000407664,0.001630656,0.002445985,0.000815328,0.009783938,0.003383612,0.00896861,0.227476559,0.047696698,0.008560946,0.014675907,0.120668569,0.092132083,0.011414594,0.002445985,0,0.00896861,0.004891969,0.014675907,0,0.316754994,0.016306563,0.03791276,0.151243375,0.147166735,0.052181003,0.294741133,0.004484305,0.00896861,0.020383204,0.005299633,0,0.176110885,1.264166327,0.713004484,0.426008969,0.200978394,0.019241745,0.02894415,0.011822258,0,0.013452915,0.014268243,0.009376274,0.001630656,0,0,0.048512026,0.027721158,0.035466775,0.017896453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,30,5,3,86,24,62,95,2.5,59.7,28.8,30.9,0.81,39316,1,0,0,201718#
1904,Vittorio Parigini,it ITA,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Christian Puggioni,it ITA,GK,Benevento,36,1981,30000,187,Goalkeeper,right,Serie A,14,14,1179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,315,433,72.7,9693,5863,37,38,97.4,152,158,96.2,125,236,53,0,0,4,0,0,0,291,142,35,0,45,12,0,0,0,0,0,192,42,199,41,301,1,0,71,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,332,294,331,1,0,0,242,0,0,0,0,0,131,568,370,112,111,99.1,0,0,0,0,3,0,0,1,0,55,0,0,0,14,14,1179,26,1.98,59,37,0.64,3,1,9,2,14.3,6,5,0,1,13.1,0,3,0,23.8,0.34,-2.2,-0.16,81,187,43.3,326,71,36.5,34.9,107,63.6,46.9,147,16,10.9,9,0.69,14.3,0.001715266,0.000571755,0,0,0.001143511,0,0.0000858,0.0000286,0.000120069,0.0000858,0.000120069,0.000400229,0.000400229,0.000571755,0.0000229,0.0000286,0.0000515,0.0000229,0.0000515,0.011092053,0.010291595,0.002858776,0.001143511,0.015894797,0.000531732,0.000148656,0.0000972,0.000343053,0.0000229,0.001315037,0.001315037,0.503144654,0.652372784,0.044082333,9.945683248,4.437964551,0.202401372,0.224128073,0.051629503,0.219554031,0.276157804,0.045454545,0.077758719,0.130360206,0.034076615,0,0.008004574,0.031446541,0.014865638,0.004574042,0.060606061,0.532875929,0.119496855,0.010291595,0.002287021,0.129788451,0.015437393,0.022870212,0,0,0,0,0.331618067,0.150371641,0.170383076,0.085191538,0.414522584,0.029731275,0.10920526,0.000571755,0.002287021,0.015437393,0.014293882,0.022870212,0.017152659,0.000880503,0.014293882,0.001143511,0,0.001143511,0,0.002287021,0.000120069,0.002287021,0,0,0,0,0,0.024585477,0.017724414,0.01086335,0.00971984,0.004002287,0.012006861,0.028587764,0.024013722,0.016580903,0.161806747,0.045740423,0.016180675,0.081189251,0.056032018,0.024585477,0.022870212,0.004574042,0,0.018296169,0.01086335,0.050314465,0,0.794739851,0.056032018,0.241280732,0.367066895,0.224699828,0.010291595,0.676386507,0.007432819,0.013150372,0.032304174,0.008576329,0.000571755,0.471698113,1.933104631,0.902229846,0.493424814,0.453401944,0.052544311,0.013150372,0.00971984,0,0.01943968,0.00971984,0.000571755,0,0.001143511,0,0.107489994,0.024013722,0.012006861,0.038136078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,6,3,29,33,84,-51,21,0.55,39,74.7,-35.7,-0.94,12132,0,0,0,201718#
2026,George Pușcaș,ro ROU,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,Bacary Sagna,fr FRA,DF,Benevento,34,1983,80000,176,Defender - Right-Back,right,Serie A,13,10,957,1,0,0,0,1,0,0.09,0,0.09,0.09,0.09,0.5,0.5,0.7,0.05,0.06,0.11,0.05,0.11,10.6,4,1,0,25,0.38,0.09,0.25,1,0.12,0.5,0.5,681,773,88.1,11856,4120,306,333,91.9,311,338,92,58,90,64.4,-0.7,12,35,5,4,34,687,86,15,1,116,15,19,1,1,0,0,556,81,136,110,544,31,70,1,1,8,5,13,16,1.51,12,2,0,1,1,0,0,0,0,0,0,0,0,8,2,4,3,1,1,8,12.5,7,86,19,22.1,50,27,9,15,2,0,13,9,35,0,862,44,287,457,163,9,780,2,3,66.7,2,0,548,2572,1303,605,584,96.5,4,7,0,4,11,0,0,0,0,111,25,9,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793651,0.000793651,0,0.000793651,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0.26984127,0.349206349,1.226984127,5.380952381,0.825396825,0.111111111,0.158730159,1.111111111,0.111111111,0.126984127,1.388888889,0.031746032,0.047619048,1.058730159,0,0.031746032,0,0.015873016,0,0.063492063,0.317460317,0.031746032,0,0,0.222222222,0.015873016,0.015873016,0,0,0,0,0.206349206,0.079365079,0.063492063,0.26984127,0.015873016,0.015873016,0,0,0,0,0,0,0.047619048,0.068095238,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126984127,0.015873016,0.198412698,0,0.047619048,0.079365079,0.031746032,0,0,0.031746032,0,0,0,0.444444444,0,0,0.253968254,0.238095238,0.015873016,0.412698413,0.015873016,0.015873016,1.587301587,0.015873016,0,0.301587302,2.095238095,0.53968254,0.587301587,0.285714286,0.771428571,0.015873016,0.015873016,0,0.031746032,0.031746032,0.015873016,0,0,0,0.079365079,0.047619048,0.015873016,1.19047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,6,3,29,33,84,-51,21,0.55,39,74.7,-35.7,-0.94,12132,0,0,0,201718#
2220,Sandro,br BRA,MF,Benevento,28,1989,2500000,187,midfield - Defensive Midfield,right,Serie A,14,13,1153,1,0,0,0,4,0,0.08,0,0.08,0.08,0.08,0.6,0.6,0.2,0.05,0.01,0.06,0.05,0.06,12.8,15,4,0,26.7,1.17,0.31,0.07,0.25,0.04,0.4,0.4,619,694,89.2,10959,2425,262,288,91,284,308,92.2,64,82,78,-0.2,5,28,4,0,29,687,7,6,0,99,6,1,1,0,0,0,567,71,56,68,591,20,0,5,0,16,10,6,15,1.17,14,0,1,0,0,1,0.08,1,0,0,0,0,0,30,20,13,14,3,8,19,42.1,11,173,51,29.5,77,82,14,31,16,0,15,9,52,0,843,84,304,475,103,8,836,7,7,100,7,0,524,2196,806,604,574,95,3,5,0,26,14,2,0,0,0,124,15,13,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,88,0,0,0,0,2,2,100,1,1,100,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0,0,0,0,0,4,21,3,3,3,100,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,6,3,29,33,84,-51,21,0.55,39,74.7,-35.7,-0.94,12132,0,0,0,201718#
1203,Phil Jones,eng ENG,DF,Manchester Utd,25,1992,20000000,185,Defender - Centre-Back,right,Premier League,23,23,1973,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.02,0,0.02,0.02,0.02,21.9,3,0,0,0,0.14,0,0,0,0.16,-0.5,-0.5,995,1109,89.7,20901,5362,284,310,91.6,516,552,93.5,179,223,80.3,0,1,49,1,0,30,1103,6,2,0,147,22,2,0,0,0,0,876,85,148,118,871,91,3,2,2,21,4,5,9,0.41,9,0,0,0,0,0,0,0,0,0,0,0,0,20,9,16,4,0,7,17,41.2,10,178,54,30.3,111,64,3,33,14,1,19,35,103,0,1308,156,768,572,38,4,1303,5,5,100,5,0,820,4164,1922,801,795,99.3,2,2,0,10,24,0,0,0,1,254,37,13,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002257336,0.002257336,0,0,0,0,0.000451467,0.000451467,0.000925508,0.000451467,0.000925508,0.005417607,0.005417607,0.003837472,0.001083521,0.000767494,0.001851016,0.001083521,0.001851016,0.011060948,0.031602709,0.013544018,0,0.096839729,0.006410835,0.00275395,0.000158014,0.000383747,0.000383747,-0.003160271,-0.003160271,0.243792325,0.313769752,0.175395034,3.729119639,0.88261851,0.14221219,0.16027088,0.200225734,0.083521445,0.115124153,0.163656885,0.013544018,0.031602709,0.096839729,-0.001580135,0.013544018,0.013544018,0.013544018,0.002257336,0.020316027,0.304740406,0.009029345,0,0.002257336,0.063205418,0.013544018,0.029345372,0,0,0,0,0.180586907,0.081264108,0.051918736,0.0248307,0.230248307,0.045146727,0.006772009,0.002257336,0,0.013544018,0.002257336,0.004514673,0.031602709,0.006410835,0.022573363,0,0.004514673,0,0.004514673,0.004514673,0.000925508,0.002257336,0,0.002257336,0,0,0,0.027088036,0.011286682,0.009029345,0.015801354,0.002257336,0.013544018,0.0248307,0.123024831,0.011286682,0.30248307,0.074492099,0.055530474,0.060948081,0.151241535,0.090293454,0.009029345,0,0,0.009029345,0.006772009,0.004514673,0,0.465011287,0.006772009,0.076749436,0.189616253,0.227990971,0.058690745,0.458239278,0.004514673,0.018058691,0.056433409,0.006772009,0,0.313769752,2.0496614,1.167042889,0.503386005,0.313769752,0.140632054,0.020316027,0.018058691,0,0.018058691,0.0248307,0.006772009,0,0,0,0.088036117,0.004514673,0.031602709,0.028216704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,25,6,7,68,28,40,81,2.13,57,39.6,17.4,0.46,74976,1,0,0,201718#
2540,Lorenzo Venuti,it ITA,DF,Benevento,22,1995,1500000,179,Defender - Right-Back,right,Serie A,31,25,2390,0,1,0,0,4,0,0,0.04,0.04,0,0.04,0.3,0.3,2.2,0.01,0.08,0.09,0.01,0.09,26.6,4,1,0,25,0.15,0.04,0,0,0.08,-0.3,-0.3,958,1186,80.8,17312,6101,443,494,89.7,393,460,85.4,111,193,57.5,-1.2,21,51,14,9,64,996,190,19,0,216,20,32,2,0,0,1,731,225,230,264,691,43,169,3,3,24,20,37,41,1.55,30,5,2,0,2,3,0.11,3,0,0,0,0,0,49,21,32,11,6,14,43,32.6,29,340,98,28.8,197,109,34,69,19,2,50,31,76,1,1488,147,640,653,278,16,1307,18,30,60,21,1,883,4775,2838,894,833,93.2,19,19,0,18,50,2,0,0,1,218,20,25,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,38,6,3,29,33,84,-51,21,0.55,39,74.7,-35.7,-0.94,12132,0,0,0,201718#
576,Bryan Cristante,it ITA,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
